,0
PC1,0.4235492515162847
PC5,0.2097033933548522
PC8,0.17154250800150947
Payment_Method___cash on delivery,0.03941434809647678
PC4,0.03648135873974027
PC6,0.024634809956801212
PC7,0.021973781807576725
PC2,0.01964063673732145
PC3,0.016143433336463738
Product_Category___electronics,0.008214679198848806
City___ankara,0.004059347614471717
City___istanbul,0.0024115281129052438
Payment_Method___credit card,0.0018524442227471735
Device_Type___desktop,0.0016805820726153583
Gender___male,0.0016372037723574894
Payment_Method___digital wallet,0.0015299377808768242
Device_Type___mobile,0.0013925775689469064
City___konya,0.0013057876023456706
Is_Returning_Customer___False,0.001198472777055665
Device_Type___tablet,0.0011889354780944483
City___antalya,0.001179023054634207
City___kayseri,0.0011401694610943495
Payment_Method___bank transfer,0.00098882810250581
Payment_Method___debit card,0.0008810086949375669
City___izmir,0.0008308229007995145
Gender___female,0.0007984332015873002
Product_Category___sports,0.0007946110022263182
Is_Returning_Customer___True,0.0007932441088156137
City___adana,0.0007372284121034589
Product_Category___home & garden,0.0006441978386963652
City___gaziantep,0.0005440299926303258
City___bursa,0.00043149289131066737
Product_Category___fashion,0.0002666678961309896
City___eskisehir,0.0001509585044230208
Gender___other,0.0001102183409092855
Product_Category___toys,7.982801546859954e-05
Product_Category___beauty,2.6823492054385658e-05
Product_Category___food,2.3929567723307778e-05
Product_Category___books,2.34667736570452e-05
